Date,Symbol,Open,High,Low,Close,Return,Return+1
10/12/2020,BBCA,29200,29500,28650,28800,0,1
10/19/2020,BBCA,28750,29500,28525,28850,0.001736111,1.001736111
10/26/2020,BBCA,28625,29175,28625,28950,0.003466205,1.003466205
11/2/2020,BBCA,28800,31500,28600,31500,0.088082902,1.088082902
11/9/2020,BBCA,31500,33000,31075,31950,0.014285714,1.014285714
11/16/2020,BBCA,32425,33250,31925,33000,0.03286385,1.03286385
11/23/2020,BBCA,33000,33050,31500,31925,-0.032575758,0.967424242
11/30/2020,BBCA,31925,32625,30675,31950,0.000783085,1.000783085
12/7/2020,BBCA,32500,33900,32125,33675,0.05399061,1.05399061
12/14/2020,BBCA,34000,35000,33025,34000,0.009651076,1.009651076
12/21/2020,BBCA,34450,34525,33100,33625,-0.011029412,0.988970588
12/28/2020,BBCA,33950,34100,33300,33850,0.00669145,1.00669145
1/4/2021,BBCA,34000,35450,33600,35250,0.041358936,1.041358936
1/11/2021,BBCA,35750,36900,34200,34775,-0.013475177,0.986524823
1/18/2021,BBCA,34775,36500,34225,35400,0.017972682,1.017972682
1/25/2021,BBCA,36000,36000,33525,33800,-0.04519774,0.95480226
2/1/2021,BBCA,33800,35000,32975,34575,0.022928994,1.022928994
2/8/2021,BBCA,35250,35275,34200,34400,-0.005061461,0.994938539
2/15/2021,BBCA,34150,34800,33600,34125,-0.007994186,0.992005814
2/22/2021,BBCA,34500,34700,33225,33550,-0.016849817,0.983150183
3/1/2021,BBCA,34150,35800,33600,34000,0.013412817,1.013412817
3/8/2021,BBCA,34750,34750,33000,33825,-0.005147059,0.994852941
3/15/2021,BBCA,34075,34100,33025,33800,-0.000739098,0.999260902
3/22/2021,BBCA,33200,33600,31500,32075,-0.051035503,0.948964497
3/29/2021,BBCA,32050,32575,30725,31125,-0.029618083,0.970381917
4/5/2021,BBCA,31250,31600,30400,31000,-0.004016064,0.995983936
4/12/2021,BBCA,31475,31850,29900,31375,0.012096774,1.012096774
4/19/2021,BBCA,31375,31975,30825,31950,0.018326693,1.018326693
4/26/2021,BBCA,31975,32300,31400,32025,0.002347418,1.002347418
5/3/2021,BBCA,32400,32400,31700,32000,-0.00078064,0.99921936
5/10/2021,BBCA,32000,32400,31525,32400,0.0125,1.0125
5/17/2021,BBCA,32500,32500,31300,31800,-0.018518519,0.981481481
5/24/2021,BBCA,31775,32400,31350,31700,-0.003144654,0.996855346
5/31/2021,BBCA,31800,33100,31625,32900,0.03785489,1.03785489
6/7/2021,BBCA,32800,33100,31800,32350,-0.016717325,0.983282675
6/14/2021,BBCA,32600,32600,31375,31625,-0.022411128,0.977588872
6/21/2021,BBCA,31500,31950,30950,30950,-0.021343874,0.978656126
6/28/2021,BBCA,30500,30750,30000,30500,-0.01453958,0.98546042
7/5/2021,BBCA,30500,30900,29900,30100,-0.013114754,0.986885246
7/12/2021,BBCA,30350,30900,29900,30550,0.014950166,1.014950166
7/19/2021,BBCA,30550,30950,30025,30175,-0.012274959,0.987725041
7/26/2021,BBCA,30200,30500,29800,29850,-0.010770505,0.989229495
8/2/2021,BBCA,30300,31800,29525,30800,0.031825796,1.031825796
8/9/2021,BBCA,30675,32175,30525,32050,0.040584416,1.040584416
8/16/2021,BBCA,32100,33800,31525,33000,0.029641186,1.029641186
8/23/2021,BBCA,32575,33025,32350,32550,-0.013636364,0.986363636
8/30/2021,BBCA,32650,33000,32275,33000,0.013824885,1.013824885
9/6/2021,BBCA,33000,33025,32050,32600,-0.012121212,0.987878788
9/13/2021,BBCA,32800,32975,32400,32600,0,1
9/20/2021,BBCA,32850,32950,32350,32925,0.009969325,1.009969325
9/27/2021,BBCA,32925,35000,32500,33800,0.02657555,1.02657555
10/4/2021,BBCA,33700,36500,33700,36450,0.078402367,1.078402367
10/11/2021,BBCA,36200,36450,36150,36275,-0.004801097,0.995198903
