Date,Symbol,Open,High,Low,Close,Return,Return+1
10/12/2020,MCAS,2010,2460,2000,2300,0,1
10/19/2020,MCAS,2300,2380,2090,2090,-0.091304348,0.908695652
10/26/2020,MCAS,2000,2140,2000,2040,-0.023923445,0.976076555
11/2/2020,MCAS,2040,2100,1920,2030,-0.004901961,0.995098039
11/9/2020,MCAS,2030,2120,1910,2060,0.014778325,1.014778325
11/16/2020,MCAS,2070,2350,2050,2350,0.140776699,1.140776699
11/23/2020,MCAS,2360,2700,2330,2700,0.14893617,1.14893617
11/30/2020,MCAS,2700,2760,2620,2690,-0.003703704,0.996296296
12/7/2020,MCAS,2690,2790,2550,2760,0.026022305,1.026022305
12/14/2020,MCAS,2800,3350,2720,3340,0.210144928,1.210144928
12/21/2020,MCAS,3400,3870,3330,3750,0.122754491,1.122754491
12/28/2020,MCAS,3760,4100,3700,3990,0.064,1.064
1/4/2021,MCAS,3990,4670,3990,4570,0.145363409,1.145363409
1/11/2021,MCAS,4550,4570,4100,4300,-0.059080963,0.940919037
1/18/2021,MCAS,4280,4670,4170,4250,-0.011627907,0.988372093
1/25/2021,MCAS,4250,4300,3840,4300,0.011764706,1.011764706
2/1/2021,MCAS,4300,4420,4100,4120,-0.041860465,0.958139535
2/8/2021,MCAS,4140,4230,4050,4230,0.026699029,1.026699029
2/15/2021,MCAS,4240,4410,3990,3990,-0.056737589,0.943262411
2/22/2021,MCAS,4030,4120,3800,4080,0.022556391,1.022556391
3/1/2021,MCAS,4090,4100,3860,3980,-0.024509804,0.975490196
3/8/2021,MCAS,3980,4020,3850,3980,0,1
3/15/2021,MCAS,4000,4100,3900,4000,0.005025126,1.005025126
3/22/2021,MCAS,4000,4530,3940,4500,0.125,1.125
3/29/2021,MCAS,4540,5050,4490,5025,0.116666667,1.116666667
4/5/2021,MCAS,5050,5975,5050,5450,0.084577114,1.084577114
4/12/2021,MCAS,5450,6100,5425,5875,0.077981651,1.077981651
4/19/2021,MCAS,6025,6050,5175,5475,-0.068085106,0.931914894
4/26/2021,MCAS,5500,5500,5225,5400,-0.01369863,0.98630137
5/3/2021,MCAS,5425,5625,5175,5475,0.013888889,1.013888889
5/10/2021,MCAS,5475,5475,5225,5450,-0.00456621,0.99543379
5/17/2021,MCAS,5400,6900,4850,6275,0.151376147,1.151376147
5/24/2021,MCAS,6300,6600,6225,6225,-0.007968127,0.992031873
5/31/2021,MCAS,6225,8100,6200,7650,0.228915663,1.228915663
6/7/2021,MCAS,7650,7950,6200,6900,-0.098039216,0.901960784
6/14/2021,MCAS,6900,7800,6600,7650,0.108695652,1.108695652
6/21/2021,MCAS,7500,8325,7325,7600,-0.006535948,0.993464052
6/28/2021,MCAS,7600,8050,7400,7775,0.023026316,1.023026316
7/5/2021,MCAS,7600,7725,7500,7600,-0.022508039,0.977491961
7/12/2021,MCAS,7600,8000,7225,7925,0.042763158,1.042763158
7/19/2021,MCAS,7975,9525,7950,9075,0.14511041,1.14511041
7/26/2021,MCAS,9075,9300,8150,8275,-0.08815427,0.91184573
8/2/2021,MCAS,8275,8600,7700,8300,0.003021148,1.003021148
8/9/2021,MCAS,8400,11975,8225,11975,0.442771084,1.442771084
8/16/2021,MCAS,12000,15000,11300,14275,0.192066806,1.192066806
8/23/2021,MCAS,14200,14800,12925,13325,-0.066549912,0.933450088
8/30/2021,MCAS,13325,13950,12775,13725,0.030018762,1.030018762
9/6/2021,MCAS,13775,13950,11450,11600,-0.154826958,0.845173042
9/13/2021,MCAS,11475,12350,11475,12000,0.034482759,1.034482759
9/20/2021,MCAS,12000,12000,9250,9850,-0.179166667,0.820833333
9/27/2021,MCAS,9850,11075,9500,10450,0.060913706,1.060913706
10/4/2021,MCAS,10525,11675,10275,11525,0.102870813,1.102870813
10/11/2021,MCAS,11600,11925,11425,11550,0.002169197,1.002169197
